aliases,candidate_collisions,caveats,derived_from,id,legal_authority_notes,name,official_url,operating_layers,record_origin,record_type,source_context,source_refs,status,unit_kind
"[""CAH""]",,,"{""candidate_id"":""candidate.dcgis.agencies.1140"",""source_row_key"":""1140""}",dc.commission.on.the.arts.and.humanities,"[""§ 39-203""]",Commission on the Arts and Humanities,https://dcarts.dc.gov/,"[""municipal""]",generated_curated,civic_unit,"{""AGENCY_ID"":1140,""AGENCY_NAME"":""Commission on the Arts and Humanities"",""SHORT_NAME"":""Commission on the Arts and Humanities"",""ACRONYM"":""CAH"",""BUDGETCODE"":""BX0"",""LEGISLATION"":""§ 39-203"",""MAYORAL_CLUSTER"":""Planning and Economic Development"",""BRANCH"":""Executive"",""ADDRESS"":""200 I Street SE, Suite 1400"",""TYPE"":""Agency"",""WEB_URL"":""https://dcarts.dc.gov/"",""SOURCE"":""STATUTORY"",""OBP_BFA_APPROPRIATION_TITLE"":""Economic Development and Regulation"",""OBJECTID"":120,""MAYORAL_OR_NOT"":""Mayoral""}","[""dcgis.agencies""]",needs_review,agency
[],,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.81"",""source_row_key"":""81""}",dc.commission.on.the.martin.luther.king.jr.holiday,"[""Mayor's Order 2013-243""]","Commission on the Martin Luther King, Jr. Holiday",https://os.dc.gov/page/commission-martin-luther-king-jr-holiday,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":81,""NAME"":""Commission on the Martin Luther King, Jr. Holiday"",""SHORT_NAME"":""Commission on the Martin Luther King, Jr. Holiday"",""ACRONYM"":null,""GOVERNING_AGENCY"":""Office of the Secretary"",""ADDRESS"":null,""TYPE"":""Commission"",""WEB_URL"":""https://os.dc.gov/page/commission-martin-luther-king-jr-holiday"",""AUTHORIZING_ORDER_LAW"":""Mayor's Order 2013-243"",""OBJECTID"":81,""CLUSTER_DC"":null}","[""dcgis.boards_commissions_councils""]",needs_review,commission
"[""CLB""]",,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.82"",""source_row_key"":""82""}",dc.common.lottery.board,"[""D.C. Code § 38-194""]",Common Lottery Board,https://www.myschooldc.org/about/common-lottery-board,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":82,""NAME"":""Common Lottery Board"",""SHORT_NAME"":""Common Lottery Board"",""ACRONYM"":""CLB"",""GOVERNING_AGENCY"":""Office of the State Superintendent of Education"",""ADDRESS"":null,""TYPE"":""Board"",""WEB_URL"":""https://www.myschooldc.org/about/common-lottery-board"",""AUTHORIZING_ORDER_LAW"":""D.C. Code § 38-194"",""OBJECTID"":82,""CLUSTER_DC"":null}","[""dcgis.boards_commissions_councils""]",needs_review,board
"[""CPLRB""]",,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.83"",""source_row_key"":""83""}",dc.concealed.pistol.licensing.review.board.cplrb,"[""D.C. Code § 7–2509.08""]",Concealed Pistol Licensing Review Board (CPLRB),https://dmpsj.dc.gov/page/concealed-pistol-licensing-review-board-cplrb,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":83,""NAME"":""Concealed Pistol Licensing Review Board (CPLRB)"",""SHORT_NAME"":""Concealed Pistol Licensing Review Board (CPLRB)"",""ACRONYM"":""CPLRB"",""GOVERNING_AGENCY"":""Office of the Deputy Mayor for Public Safety and Justice"",""ADDRESS"":""1350 Pennsylvania Avenue NW, Suite 533"",""TYPE"":""Board"",""WEB_URL"":""https://dmpsj.dc.gov/page/concealed-pistol-licensing-review-board-cplrb"",""AUTHORIZING_ORDER_LAW"":""D.C. Code § 7–2509.08"",""OBJECTID"":83,""CLUSTER_DC"":null}","[""dcgis.boards_commissions_councils""]",needs_review,board
"[""CAAC""]",,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.11"",""source_row_key"":""11""}",dc.condominium.association.advisory.council,"[""D.C. Code § 42–1903.08a""]",Condominium Association Advisory Council,,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":11,""NAME"":""Condominium Association Advisory Council"",""SHORT_NAME"":""Condominium Association Advisory Council"",""ACRONYM"":""CAAC"",""GOVERNING_AGENCY"":null,""ADDRESS"":null,""TYPE"":""Council"",""WEB_URL"":null,""AUTHORIZING_ORDER_LAW"":""D.C. Code § 42–1903.08a"",""OBJECTID"":11,""CLUSTER_DC"":null}","[""dcgis.boards_commissions_councils""]",needs_review,council
"[""CCCB""]",,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.84"",""source_row_key"":""84""}",dc.construction.codes.coordinating.board,"[""Mayor's Order 2009-22""]",Construction Codes Coordinating Board,https://dob.dc.gov/service/construction-codes-coordinating-board-1,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":84,""NAME"":""Construction Codes Coordinating Board"",""SHORT_NAME"":""Construction Codes Coordinating Board"",""ACRONYM"":""CCCB"",""GOVERNING_AGENCY"":""Department of Buildings"",""ADDRESS"":""1100 4th Street SW"",""TYPE"":""Board"",""WEB_URL"":""https://dob.dc.gov/service/construction-codes-coordinating-board-1"",""AUTHORIZING_ORDER_LAW"":""Mayor's Order 2009-22"",""OBJECTID"":84,""CLUSTER_DC"":null}","[""dcgis.boards_commissions_councils""]",needs_review,board
"[""CAB""]",,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.85"",""source_row_key"":""85""}",dc.contract.appeals.board.cab,"[""D.C. Code § 2-360.01""]",Contract Appeals Board (CAB),https://cab.dc.gov/,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":85,""NAME"":""Contract Appeals Board (CAB)"",""SHORT_NAME"":""Contract Appeals Board (CAB)"",""ACRONYM"":""CAB"",""GOVERNING_AGENCY"":null,""ADDRESS"":""441 4th Street NW, Suite 350 North"",""TYPE"":""Board"",""WEB_URL"":""https://cab.dc.gov/"",""AUTHORIZING_ORDER_LAW"":""D.C. Code § 2-360.01"",""OBJECTID"":85,""CLUSTER_DC"":null}","[""dcgis.boards_commissions_councils""]",needs_review,board
[],,,"{""candidate_id"":""candidate.dcgis.agencies.1111"",""source_row_key"":""1111""}",dc.convention.center.transfer.dedicated.taxes,[],Convention Center Transfer- Dedicated Taxes,https://cfo.dc.gov/publication/2020-ez0-convention-center-transfer-dedicated-taxes,"[""municipal""]",generated_curated,civic_unit,"{""AGENCY_ID"":1111,""AGENCY_NAME"":""Convention Center Transfer- Dedicated Taxes"",""SHORT_NAME"":""Convention Center Transfer- Dedicated Taxes"",""ACRONYM"":null,""BUDGETCODE"":""EZ0"",""LEGISLATION"":null,""MAYORAL_CLUSTER"":""Financing and Other"",""BRANCH"":""Other"",""ADDRESS"":null,""TYPE"":""Budgetary"",""WEB_URL"":""https://cfo.dc.gov/publication/2020-ez0-convention-center-transfer-dedicated-taxes"",""SOURCE"":""NON-STATUTORY"",""OBP_BFA_APPROPRIATION_TITLE"":""Financing and Other"",""OBJECTID"":93,""MAYORAL_OR_NOT"":""Non-Mayoral""}","[""dcgis.agencies""]",needs_review,agency
"[""CIC""]",,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.24"",""source_row_key"":""24""}",dc.corrections.information.council.cic,"[""D.C. Code § 24-101.01""]",Corrections Information Council (CIC),https://cic.dc.gov/,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":24,""NAME"":""Corrections Information Council (CIC)"",""SHORT_NAME"":""Corrections Information Council (CIC)"",""ACRONYM"":""CIC"",""GOVERNING_AGENCY"":null,""ADDRESS"":""2901 14th Street NW, Ground Floor"",""TYPE"":""Council"",""WEB_URL"":""https://cic.dc.gov/"",""AUTHORIZING_ORDER_LAW"":""D.C. Code § 24-101.01"",""OBJECTID"":24,""CLUSTER_DC"":null}","[""dcgis.boards_commissions_councils""]",needs_review,council
,,,,dc.council,,Council of the District of Columbia,,"[""municipal"",""state_equivalent""]",,civic_unit,,"[""dc_code""]",active,legislative_body
"[""DCCOUNCIL""]",,,"{""candidate_id"":""candidate.dcgis.agencies.1012"",""source_row_key"":""1012""}",dc.council.of.the.district.of.columbia,"[""§ 1-204.55""]",Council of the District of Columbia,https://dccouncil.us/,"[""municipal""]",generated_curated,civic_unit,"{""AGENCY_ID"":1012,""AGENCY_NAME"":""Council of the District of Columbia"",""SHORT_NAME"":""Council of the District of Columbia"",""ACRONYM"":""DCCOUNCIL"",""BUDGETCODE"":""AB0"",""LEGISLATION"":""§ 1-204.55"",""MAYORAL_CLUSTER"":""Governmental Direction and Support"",""BRANCH"":""Legislative"",""ADDRESS"":""1350 Pennsylvania Avenue NW"",""TYPE"":""Agency"",""WEB_URL"":""https://dccouncil.us/"",""SOURCE"":""NON-STATUTORY"",""OBP_BFA_APPROPRIATION_TITLE"":""Governmental Direction and Support"",""OBJECTID"":7,""MAYORAL_OR_NOT"":""Non-Mayoral""}","[""dcgis.agencies""]",needs_review,agency
,,,,dc.courts,,District of Columbia Courts,,"[""federalized_local""]",,civic_unit,,"[""dc_code"",""dc_courts""]",active,judicial_body
[],,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.86"",""source_row_key"":""86""}",dc.criminal.code.reform.commission,"[""D.C. Code § 3-151""]",Criminal Code Reform Commission,https://ccrc.dc.gov/,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":86,""NAME"":""Criminal Code Reform Commission"",""SHORT_NAME"":""Criminal Code Reform Commission"",""ACRONYM"":null,""GOVERNING_AGENCY"":null,""ADDRESS"":""441 4th Street NW, 1C001S"",""TYPE"":""Commission"",""WEB_URL"":""https://ccrc.dc.gov/"",""AUTHORIZING_ORDER_LAW"":""D.C. Code § 3-151"",""OBJECTID"":86,""CLUSTER_DC"":null}","[""dcgis.boards_commissions_councils""]",needs_review,commission
"[""CJCC""]","[""candidate.dcgis.agencies.1013"",""candidate.dcgis.boards_commissions_councils.21""]","[""Appears in both the DCGIS agencies table and boards/commissions/councils table; treated as one curated civic unit.""]","{""candidate_id"":""candidate.dcgis.agencies.1013"",""source_row_key"":""1013""}",dc.criminal.justice.coordinating.council,"[""4-1303.01a""]",Criminal Justice Coordinating Council,https://cjcc.dc.gov/,"[""municipal""]",generated_curated,civic_unit,"{""AGENCY_ID"":1013,""AGENCY_NAME"":""Criminal Justice Coordinating Council"",""SHORT_NAME"":""Criminal Justice Coordinating Council"",""ACRONYM"":""CJCC"",""BUDGETCODE"":""FJ0"",""LEGISLATION"":""4-1303.01a"",""MAYORAL_CLUSTER"":""Public Safety and Justice"",""BRANCH"":""Other"",""ADDRESS"":""441 4th Street NW, Suite 715 North"",""TYPE"":""Agency"",""WEB_URL"":""https://cjcc.dc.gov/"",""SOURCE"":""NON-STATUTORY"",""OBP_BFA_APPROPRIATION_TITLE"":""Public Safety and Justice"",""OBJECTID"":4,""MAYORAL_OR_NOT"":""Non-Mayoral""}","[""dcgis.agencies"",""dcgis.boards_commissions_councils""]",needs_review,agency
"[""DCCOURTA""]",,,"{""candidate_id"":""candidate.dcgis.agencies.1014"",""source_row_key"":""1014""}",dc.dc.court.of.appeals,[],DC Court of Appeals,https://www.dccourts.gov/court-of-appeals,"[""municipal""]",generated_curated,civic_unit,"{""AGENCY_ID"":1014,""AGENCY_NAME"":""DC Court of Appeals"",""SHORT_NAME"":""Court of Appeals"",""ACRONYM"":""DCCOURTA"",""BUDGETCODE"":null,""LEGISLATION"":null,""MAYORAL_CLUSTER"":""Governmental Direction and Support"",""BRANCH"":""Judicial"",""ADDRESS"":""430 E Street NW"",""TYPE"":""Agency"",""WEB_URL"":""https://www.dccourts.gov/court-of-appeals"",""SOURCE"":""NON-STATUTORY"",""OBP_BFA_APPROPRIATION_TITLE"":null,""OBJECTID"":8,""MAYORAL_OR_NOT"":""Non-Mayoral""}","[""dcgis.agencies""]",needs_review,agency
"[""DDC""]",,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.22"",""source_row_key"":""22""}",dc.dc.developmental.disabilities.council,[],DC Developmental Disabilities Council,https://ddc.dc.gov/,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":22,""NAME"":""DC Developmental Disabilities Council"",""SHORT_NAME"":""Developmental Disabilities Council"",""ACRONYM"":""DDC"",""GOVERNING_AGENCY"":null,""ADDRESS"":""441 4th Street NW, 729 North"",""TYPE"":""Council"",""WEB_URL"":""https://ddc.dc.gov/"",""AUTHORIZING_ORDER_LAW"":null,""OBJECTID"":22,""CLUSTER_DC"":""Health and Human Services""}","[""dcgis.boards_commissions_councils""]",needs_review,council
[],,,"{""candidate_id"":""candidate.dcgis.agencies.1172"",""source_row_key"":""1172""}",dc.dc.green.bank,"[""District of Columbia Green Finance Authority Establishment Act of 2018""]",DC Green Bank,https://dcgreenbank.com/,"[""municipal""]",generated_curated,civic_unit,"{""AGENCY_ID"":1172,""AGENCY_NAME"":""DC Green Bank"",""SHORT_NAME"":""DC Green Bank"",""ACRONYM"":null,""BUDGETCODE"":null,""LEGISLATION"":""District of Columbia Green Finance Authority Establishment Act of 2018"",""MAYORAL_CLUSTER"":null,""BRANCH"":""Other"",""ADDRESS"":""1900 M Street NW, 3rd Floor, c/o Tiber Hudson"",""TYPE"":""Agency"",""WEB_URL"":""https://dcgreenbank.com/"",""SOURCE"":null,""OBP_BFA_APPROPRIATION_TITLE"":""Enterprise and Other Funds"",""OBJECTID"":151,""MAYORAL_OR_NOT"":""Non-Mayoral""}","[""dcgis.agencies""]",needs_review,agency
"[""DOH""]",,,"{""candidate_id"":""candidate.dcgis.agencies.1037"",""source_row_key"":""1037""}",dc.dc.health,"[""DC ST D.I, T. 1, Ch.15, Subch. XIV, Pt. A, 1996 Plan 4""]",DC Health,https://dchealth.dc.gov/,"[""municipal""]",generated_curated,civic_unit,"{""AGENCY_ID"":1037,""AGENCY_NAME"":""DC Health"",""SHORT_NAME"":""DC Health"",""ACRONYM"":""DOH"",""BUDGETCODE"":""HC0"",""LEGISLATION"":""DC ST D.I, T. 1, Ch.15, Subch. XIV, Pt. A, 1996 Plan 4"",""MAYORAL_CLUSTER"":""Health and Human Services"",""BRANCH"":""Executive"",""ADDRESS"":""2201 Shannon Place SE"",""TYPE"":""Agency"",""WEB_URL"":""https://dchealth.dc.gov/"",""SOURCE"":""STATUTORY"",""OBP_BFA_APPROPRIATION_TITLE"":""Human Support Services"",""OBJECTID"":40,""MAYORAL_OR_NOT"":""Mayoral""}","[""dcgis.agencies""]",needs_review,agency
"[""DCHA""]",,,"{""candidate_id"":""candidate.dcgis.agencies.1016"",""source_row_key"":""1016""}",dc.dc.housing.authority,[],DC Housing Authority,https://www.dchousing.org/,"[""municipal""]",generated_curated,civic_unit,"{""AGENCY_ID"":1016,""AGENCY_NAME"":""DC Housing Authority"",""SHORT_NAME"":""Housing Authority"",""ACRONYM"":""DCHA"",""BUDGETCODE"":null,""LEGISLATION"":null,""MAYORAL_CLUSTER"":""Planning and Economic Development"",""BRANCH"":""Other"",""ADDRESS"":""1133 North Capitol Street NE"",""TYPE"":""Agency"",""WEB_URL"":""https://www.dchousing.org/"",""SOURCE"":""STATUTORY"",""OBP_BFA_APPROPRIATION_TITLE"":null,""OBJECTID"":10,""MAYORAL_OR_NOT"":""Non-Mayoral""}","[""dcgis.agencies""]",needs_review,agency
"[""DCHFA""]",,,"{""candidate_id"":""candidate.dcgis.agencies.1017"",""source_row_key"":""1017""}",dc.dc.housing.finance.agency,"[""§ 6-202""]",DC Housing Finance Agency,https://www.dchfa.org/,"[""municipal""]",generated_curated,civic_unit,"{""AGENCY_ID"":1017,""AGENCY_NAME"":""DC Housing Finance Agency"",""SHORT_NAME"":""Housing Finance Agency"",""ACRONYM"":""DCHFA"",""BUDGETCODE"":""HF0"",""LEGISLATION"":""§ 6-202"",""MAYORAL_CLUSTER"":""Planning and Economic Development"",""BRANCH"":""Other"",""ADDRESS"":""815 Florida Avenue NW"",""TYPE"":""Agency"",""WEB_URL"":""https://www.dchfa.org/"",""SOURCE"":""STATUTORY"",""OBP_BFA_APPROPRIATION_TITLE"":""Enterprise and Other Funds"",""OBJECTID"":11,""MAYORAL_OR_NOT"":""Non-Mayoral""}","[""dcgis.agencies""]",needs_review,agency
"[""DCOZ""]",,,"{""candidate_id"":""candidate.dcgis.agencies.1019"",""source_row_key"":""1019""}",dc.dc.office.of.zoning,"[""§ 7-503.01""]",DC Office of Zoning,https://dcoz.dc.gov/,"[""municipal""]",generated_curated,civic_unit,"{""AGENCY_ID"":1019,""AGENCY_NAME"":""DC Office of Zoning"",""SHORT_NAME"":""Office of Zoning"",""ACRONYM"":""DCOZ"",""BUDGETCODE"":""BJ0"",""LEGISLATION"":""§ 7-503.01"",""MAYORAL_CLUSTER"":""Planning and Economic Development"",""BRANCH"":""Other"",""ADDRESS"":""441 4th Street NW, Suite 200 South"",""TYPE"":""Agency"",""WEB_URL"":""https://dcoz.dc.gov/"",""SOURCE"":""STATUTORY"",""OBP_BFA_APPROPRIATION_TITLE"":""Economic Development and Regulation"",""OBJECTID"":15,""MAYORAL_OR_NOT"":""Non-Mayoral""}","[""dcgis.agencies""]",needs_review,agency
"[""DCPCSB""]","[""candidate.dcgis.agencies.1142"",""candidate.dcgis.boards_commissions_councils.87""]","[""Appears in both the DCGIS agencies table and boards/commissions/councils table; treated as one curated civic unit.""]","{""candidate_id"":""candidate.dcgis.agencies.1142"",""source_row_key"":""1142""}",dc.dc.public.charter.school.board,"[""§ 38–1802.14""]",DC Public Charter School Board,https://www.dcpcsb.org/,"[""municipal""]",generated_curated,civic_unit,"{""AGENCY_ID"":1142,""AGENCY_NAME"":""DC Public Charter School Board "",""SHORT_NAME"":""DC Public Charter School Board "",""ACRONYM"":""DCPCSB"",""BUDGETCODE"":""GB0"",""LEGISLATION"":""§ 38–1802.14"",""MAYORAL_CLUSTER"":""Education"",""BRANCH"":""Other"",""ADDRESS"":""100 M Street SE, Suite 400"",""TYPE"":""Agency"",""WEB_URL"":""https://www.dcpcsb.org/"",""SOURCE"":""STATUTORY"",""OBP_BFA_APPROPRIATION_TITLE"":""Public Education System"",""OBJECTID"":122,""MAYORAL_OR_NOT"":""Non-Mayoral""}","[""dcgis.agencies"",""dcgis.boards_commissions_councils""]",needs_review,agency
"[""DCPL""]",,,"{""candidate_id"":""candidate.dcgis.agencies.1022"",""source_row_key"":""1022""}",dc.dc.public.library,"[""§ 5-1105""]",DC Public Library,https://www.dclibrary.org/,"[""municipal""]",generated_curated,civic_unit,"{""AGENCY_ID"":1022,""AGENCY_NAME"":""DC Public Library"",""SHORT_NAME"":""Public Library"",""ACRONYM"":""DCPL"",""BUDGETCODE"":""CE0"",""LEGISLATION"":""§ 5-1105"",""MAYORAL_CLUSTER"":""Education"",""BRANCH"":""Executive"",""ADDRESS"":""901 G Street NW, Suite 301"",""TYPE"":""Agency"",""WEB_URL"":""https://www.dclibrary.org/"",""SOURCE"":""STATUTORY"",""OBP_BFA_APPROPRIATION_TITLE"":""Public Education System"",""OBJECTID"":17,""MAYORAL_OR_NOT"":""Mayoral""}","[""dcgis.agencies""]",needs_review,agency
"[""DCCOURTS""]",,,"{""candidate_id"":""candidate.dcgis.agencies.1026"",""source_row_key"":""1026""}",dc.dc.superior.court,[],DC Superior Court,https://www.dccourts.gov/,"[""municipal""]",generated_curated,civic_unit,"{""AGENCY_ID"":1026,""AGENCY_NAME"":""DC Superior Court"",""SHORT_NAME"":""Superior Court"",""ACRONYM"":""DCCOURTS"",""BUDGETCODE"":null,""LEGISLATION"":null,""MAYORAL_CLUSTER"":null,""BRANCH"":""Judicial"",""ADDRESS"":""430 E Street NW"",""TYPE"":""Agency"",""WEB_URL"":""https://www.dccourts.gov/"",""SOURCE"":""NON-STATUTORY"",""OBP_BFA_APPROPRIATION_TITLE"":null,""OBJECTID"":9,""MAYORAL_OR_NOT"":""Non-Mayoral""}","[""dcgis.agencies""]",needs_review,agency
"[""DCTRC""]",,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.88"",""source_row_key"":""88""}",dc.dc.tax.revision.commission,"[""D.C. Code § 47-462""]",DC Tax Revision Commission,https://www.dctaxrevisioncommission.org/,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":88,""NAME"":""DC Tax Revision Commission"",""SHORT_NAME"":""DC Tax Revision Commission"",""ACRONYM"":""DCTRC"",""GOVERNING_AGENCY"":""DC Tax Revision Commission "",""ADDRESS"":""1101 4th Street SW, Suite W770"",""TYPE"":""Commission"",""WEB_URL"":""https://www.dctaxrevisioncommission.org/"",""AUTHORIZING_ORDER_LAW"":""D.C. Code § 47-462"",""OBJECTID"":88,""CLUSTER_DC"":null}","[""dcgis.boards_commissions_councils""]",needs_review,commission
"[""DCWATER""]",,,"{""candidate_id"":""candidate.dcgis.agencies.1027"",""source_row_key"":""1027""}",dc.dc.water,"[""§ 34-2202.02""]",DC Water,https://www.dcwater.com/,"[""municipal""]",generated_curated,civic_unit,"{""AGENCY_ID"":1027,""AGENCY_NAME"":""DC Water"",""SHORT_NAME"":""Water and Sewer Authority"",""ACRONYM"":""DCWATER"",""BUDGETCODE"":""LA0"",""LEGISLATION"":""§ 34-2202.02"",""MAYORAL_CLUSTER"":""Government Operations"",""BRANCH"":""Other"",""ADDRESS"":""1385 Canal Street SE"",""TYPE"":""Non-DC Government"",""WEB_URL"":""https://www.dcwater.com/"",""SOURCE"":""STATUTORY"",""OBP_BFA_APPROPRIATION_TITLE"":""Enterprise and Other Funds"",""OBJECTID"":20,""MAYORAL_OR_NOT"":""Non-Mayoral""}","[""dcgis.agencies""]",needs_review,agency
[],,,"{""candidate_id"":""candidate.dcgis.agencies.1112"",""source_row_key"":""1112""}",dc.debt.service.insurance.costs,[],Debt Service - Insurance Costs,https://cfo.dc.gov/publication/2021-debt-service,"[""municipal""]",generated_curated,civic_unit,"{""AGENCY_ID"":1112,""AGENCY_NAME"":""Debt Service - Insurance Costs"",""SHORT_NAME"":""Debt Service - Insurance Costs"",""ACRONYM"":null,""BUDGETCODE"":""ZB0"",""LEGISLATION"":null,""MAYORAL_CLUSTER"":""Financing and Other"",""BRANCH"":""Other"",""ADDRESS"":null,""TYPE"":""Budgetary"",""WEB_URL"":""https://cfo.dc.gov/publication/2021-debt-service"",""SOURCE"":""NON-STATUTORY"",""OBP_BFA_APPROPRIATION_TITLE"":""Financing and Other"",""OBJECTID"":94,""MAYORAL_OR_NOT"":""Non-Mayoral""}","[""dcgis.agencies""]",needs_review,agency
"[""DACL""]",,,"{""candidate_id"":""candidate.dcgis.agencies.1020"",""source_row_key"":""1020""}",dc.department.of.aging.and.community.living,"[""§ 7–503.01 - https://code.dccouncil.gov/us/dc/council/code/sections/7-503.01""]",Department of Aging and Community Living,https://dacl.dc.gov/,"[""municipal""]",generated_curated,civic_unit,"{""AGENCY_ID"":1020,""AGENCY_NAME"":""Department of Aging and Community Living"",""SHORT_NAME"":""Department of Aging and Community Living"",""ACRONYM"":""DACL"",""BUDGETCODE"":""BY0"",""LEGISLATION"":""§ 7–503.01 - https://code.dccouncil.gov/us/dc/council/code/sections/7-503.01"",""MAYORAL_CLUSTER"":""Health and Human Services"",""BRANCH"":""Executive"",""ADDRESS"":""500 K Street NE"",""TYPE"":""Agency"",""WEB_URL"":""https://dacl.dc.gov/"",""SOURCE"":""STATUTORY"",""OBP_BFA_APPROPRIATION_TITLE"":""Human Support Services"",""OBJECTID"":14,""MAYORAL_OR_NOT"":""Mayoral""}","[""dcgis.agencies""]",needs_review,agency
"[""DBH""]",,,"{""candidate_id"":""candidate.dcgis.agencies.1028"",""source_row_key"":""1028""}",dc.department.of.behavioral.health,"[""§ 7–1141.02 - https://code.dccouncil.gov/us/dc/council/code/sections/7-1141.02""]",Department of Behavioral Health,https://dbh.dc.gov/,"[""municipal""]",generated_curated,civic_unit,"{""AGENCY_ID"":1028,""AGENCY_NAME"":""Department of Behavioral Health"",""SHORT_NAME"":""Department of Behavioral Health"",""ACRONYM"":""DBH"",""BUDGETCODE"":""RM0"",""LEGISLATION"":""§ 7–1141.02 - https://code.dccouncil.gov/us/dc/council/code/sections/7-1141.02"",""MAYORAL_CLUSTER"":""Health and Human Services"",""BRANCH"":""Executive"",""ADDRESS"":""64 New York Avenue NE, 3rd Floor"",""TYPE"":""Agency"",""WEB_URL"":""https://dbh.dc.gov/"",""SOURCE"":""STATUTORY"",""OBP_BFA_APPROPRIATION_TITLE"":""Human Support Services"",""OBJECTID"":5,""MAYORAL_OR_NOT"":""Mayoral""}","[""dcgis.agencies""]",needs_review,agency
"[""DOB""]",,,"{""candidate_id"":""candidate.dcgis.agencies.1181"",""source_row_key"":""1181""}",dc.department.of.buildings,"[""§ 28-3902D""]",Department of Buildings,https://dob.dc.gov/,"[""municipal""]",generated_curated,civic_unit,"{""AGENCY_ID"":1181,""AGENCY_NAME"":""Department of Buildings"",""SHORT_NAME"":""Department of Buildings"",""ACRONYM"":""DOB"",""BUDGETCODE"":""CU0"",""LEGISLATION"":""§ 28-3902D"",""MAYORAL_CLUSTER"":""Planning and Economic Development"",""BRANCH"":""Executive"",""ADDRESS"":""1100 4th Street SW"",""TYPE"":""Agency"",""WEB_URL"":""https://dob.dc.gov/"",""SOURCE"":""STATUTORY"",""OBP_BFA_APPROPRIATION_TITLE"":""Operations and Infrastructure"",""OBJECTID"":158,""MAYORAL_OR_NOT"":""Mayoral""}","[""dcgis.agencies""]",needs_review,agency
"[""DOC""]",,,"{""candidate_id"":""candidate.dcgis.agencies.1030"",""source_row_key"":""1030""}",dc.department.of.corrections,"[""DC. ST. D.I., T.1, Ch. 15, Subch. III, Part A, 1979 Plan 2""]",Department of Corrections,https://doc.dc.gov/,"[""municipal""]",generated_curated,civic_unit,"{""AGENCY_ID"":1030,""AGENCY_NAME"":""Department of Corrections"",""SHORT_NAME"":""Department of Corrections"",""ACRONYM"":""DOC"",""BUDGETCODE"":""FL0"",""LEGISLATION"":""DC. ST. D.I., T.1, Ch. 15, Subch. III, Part A, 1979 Plan 2"",""MAYORAL_CLUSTER"":""Public Safety and Justice"",""BRANCH"":""Executive"",""ADDRESS"":""3924 Minnesota Avenue NE, 2nd Floor"",""TYPE"":""Agency"",""WEB_URL"":""https://doc.dc.gov/"",""SOURCE"":""STATUTORY"",""OBP_BFA_APPROPRIATION_TITLE"":""Public Safety and Justice"",""OBJECTID"":37,""MAYORAL_OR_NOT"":""Mayoral""}","[""dcgis.agencies""]",needs_review,agency
"[""DOES""]",,,"{""candidate_id"":""candidate.dcgis.agencies.1032"",""source_row_key"":""1032""}",dc.department.of.employment.services,"[""D.C. ST. D.I., T.1, Ch. 15, Subch. IV, Part A, 1980 Plan 1""]",Department of Employment Services,https://does.dc.gov/,"[""municipal""]",generated_curated,civic_unit,"{""AGENCY_ID"":1032,""AGENCY_NAME"":""Department of Employment Services"",""SHORT_NAME"":""Department of Employment Services"",""ACRONYM"":""DOES"",""BUDGETCODE"":""CF0"",""LEGISLATION"":""D.C. ST. D.I., T.1, Ch. 15, Subch. IV, Part A, 1980 Plan 1"",""MAYORAL_CLUSTER"":""Education"",""BRANCH"":""Executive"",""ADDRESS"":""899 North Capitol Street NE"",""TYPE"":""Agency"",""WEB_URL"":""https://does.dc.gov/"",""SOURCE"":""STATUTORY"",""OBP_BFA_APPROPRIATION_TITLE"":""Public Education System"",""OBJECTID"":39,""MAYORAL_OR_NOT"":""Mayoral""}","[""dcgis.agencies""]",needs_review,agency
