aliases,candidate_collisions,caveats,derived_from,id,legal_authority_notes,name,official_url,operating_layers,record_origin,record_type,source_context,source_refs,status,unit_kind
[],,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.47"",""source_row_key"":""47""}",dc.board.of.occupational.therapy,"[""D.C. Code § 3-1202.06""]",Board of Occupational Therapy,https://dchealth.dc.gov/service/occupational-therapy-licensing,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":47,""NAME"":""Board of Occupational Therapy"",""SHORT_NAME"":""Board of Occupational Therapy"",""ACRONYM"":null,""GOVERNING_AGENCY"":""DC Health"",""ADDRESS"":""899 North Capitol Street NE"",""TYPE"":""Board"",""WEB_URL"":""https://dchealth.dc.gov/service/occupational-therapy-licensing"",""AUTHORIZING_ORDER_LAW"":""D.C. Code § 3-1202.06"",""OBJECTID"":47,""CLUSTER_DC"":""Health and Human Services""}","[""dcgis.boards_commissions_councils""]",needs_review,board
[],,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.48"",""source_row_key"":""48""}",dc.board.of.optometry,"[""D.C. Code § 3-1202.07""]",Board of Optometry,https://dchealth.dc.gov/service/optometry-licensing,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":48,""NAME"":""Board of Optometry "",""SHORT_NAME"":""Board of Optometry "",""ACRONYM"":null,""GOVERNING_AGENCY"":""DC Health"",""ADDRESS"":""899 North Capitol Street NE"",""TYPE"":""Board"",""WEB_URL"":""https://dchealth.dc.gov/service/optometry-licensing"",""AUTHORIZING_ORDER_LAW"":""D.C. Code § 3-1202.07"",""OBJECTID"":48,""CLUSTER_DC"":""Health and Human Services""}","[""dcgis.boards_commissions_councils""]",needs_review,board
[],,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.49"",""source_row_key"":""49""}",dc.board.of.pharmacy,"[""D.C. Code § 3-1202.08""]",Board of Pharmacy,https://dchealth.dc.gov/service/pharmacy-licensure,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":49,""NAME"":""Board of Pharmacy"",""SHORT_NAME"":""Board of Pharmacy"",""ACRONYM"":null,""GOVERNING_AGENCY"":""DC Health"",""ADDRESS"":""899 North Capitol Street NE"",""TYPE"":""Board"",""WEB_URL"":""https://dchealth.dc.gov/service/pharmacy-licensure"",""AUTHORIZING_ORDER_LAW"":""D.C. Code § 3-1202.08"",""OBJECTID"":49,""CLUSTER_DC"":""Health and Human Services""}","[""dcgis.boards_commissions_councils""]",needs_review,board
[],,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.50"",""source_row_key"":""50""}",dc.board.of.physical.therapy,"[""D.C. Code § 3-1202.09""]",Board of Physical Therapy,https://dchealth.dc.gov/service/physical-therapy-licensing,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":50,""NAME"":""Board of Physical Therapy"",""SHORT_NAME"":""Board of Physical Therapy"",""ACRONYM"":null,""GOVERNING_AGENCY"":""DC Health"",""ADDRESS"":""899 North Capitol Street NE"",""TYPE"":""Board"",""WEB_URL"":""https://dchealth.dc.gov/service/physical-therapy-licensing"",""AUTHORIZING_ORDER_LAW"":""D.C. Code § 3-1202.09"",""OBJECTID"":50,""CLUSTER_DC"":""Health and Human Services""}","[""dcgis.boards_commissions_councils""]",needs_review,board
[],,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.51"",""source_row_key"":""51""}",dc.board.of.podiatry,"[""D.C. Code § 3-1202.10""]",Board of Podiatry,https://dchealth.dc.gov/service/podiatry-licensing,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":51,""NAME"":""Board of Podiatry"",""SHORT_NAME"":""Board of Podiatry"",""ACRONYM"":null,""GOVERNING_AGENCY"":""DC Health"",""ADDRESS"":""899 North Capitol Street NE"",""TYPE"":""Board"",""WEB_URL"":""https://dchealth.dc.gov/service/podiatry-licensing"",""AUTHORIZING_ORDER_LAW"":""D.C. Code § 3-1202.10"",""OBJECTID"":51,""CLUSTER_DC"":""Health and Human Services""}","[""dcgis.boards_commissions_councils""]",needs_review,board
[],,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.52"",""source_row_key"":""52""}",dc.board.of.professional.counseling,"[""D.C. Code § 3-1202.13""]",Board of Professional Counseling,https://dchealth.dc.gov/service/professional-counseling-licensing,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":52,""NAME"":""Board of Professional Counseling"",""SHORT_NAME"":""Board of Professional Counseling"",""ACRONYM"":null,""GOVERNING_AGENCY"":""DC Health"",""ADDRESS"":""899 North Capitol Street NE"",""TYPE"":""Board"",""WEB_URL"":""https://dchealth.dc.gov/service/professional-counseling-licensing"",""AUTHORIZING_ORDER_LAW"":""D.C. Code § 3-1202.13"",""OBJECTID"":52,""CLUSTER_DC"":""Health and Human Services""}","[""dcgis.boards_commissions_councils""]",needs_review,board
[],,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.53"",""source_row_key"":""53""}",dc.board.of.professional.engineering,"[""D.C. Code § 47-2853.06""]",Board of Professional Engineering,https://dlcp.dc.gov/page/board-professional-engineers,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":53,""NAME"":""Board of Professional Engineering"",""SHORT_NAME"":""Board of Professional Engineering"",""ACRONYM"":null,""GOVERNING_AGENCY"":""DC Department of Licensing and Consumer Protection"",""ADDRESS"":""1100 4th Street SW"",""TYPE"":""Board"",""WEB_URL"":""https://dlcp.dc.gov/page/board-professional-engineers"",""AUTHORIZING_ORDER_LAW"":""D.C. Code § 47-2853.06"",""OBJECTID"":53,""CLUSTER_DC"":null}","[""dcgis.boards_commissions_councils""]",needs_review,board
[],,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.54"",""source_row_key"":""54""}",dc.board.of.psychology,"[""D.C. Code § 3-1202.11""]",Board of Psychology,https://dchealth.dc.gov/node/160282,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":54,""NAME"":""Board of Psychology"",""SHORT_NAME"":""Board of Psychology"",""ACRONYM"":null,""GOVERNING_AGENCY"":""DC Health"",""ADDRESS"":""899 North Capitol Street NE"",""TYPE"":""Board"",""WEB_URL"":""https://dchealth.dc.gov/node/160282"",""AUTHORIZING_ORDER_LAW"":""D.C. Code § 3-1202.11"",""OBJECTID"":54,""CLUSTER_DC"":""Health and Human Services""}","[""dcgis.boards_commissions_councils""]",needs_review,board
[],,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.55"",""source_row_key"":""55""}",dc.board.of.real.estate.appraisers,"[""D.C. Code § 47-2853.06""]",Board of Real Estate Appraisers,https://dlcp.dc.gov/realestateappraisers,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":55,""NAME"":""Board of Real Estate Appraisers"",""SHORT_NAME"":""Board of Real Estate Appraisers"",""ACRONYM"":null,""GOVERNING_AGENCY"":""DC Department of Licensing and Consumer Protection"",""ADDRESS"":""1100 4th Street SW"",""TYPE"":""Board"",""WEB_URL"":""https://dlcp.dc.gov/realestateappraisers"",""AUTHORIZING_ORDER_LAW"":""D.C. Code § 47-2853.06"",""OBJECTID"":55,""CLUSTER_DC"":null}","[""dcgis.boards_commissions_councils""]",needs_review,board
[],,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.56"",""source_row_key"":""56""}",dc.board.of.respiratory.care,"[""D.C. Code § 3-1202.14""]",Board of Respiratory Care,https://dchealth.dc.gov/service/respiratory-care-licensing,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":56,""NAME"":""Board of Respiratory Care"",""SHORT_NAME"":""Board of Respiratory Care"",""ACRONYM"":null,""GOVERNING_AGENCY"":""DC Health"",""ADDRESS"":""899 North Capitol Street NE"",""TYPE"":""Board"",""WEB_URL"":""https://dchealth.dc.gov/service/respiratory-care-licensing"",""AUTHORIZING_ORDER_LAW"":""D.C. Code § 3-1202.14"",""OBJECTID"":56,""CLUSTER_DC"":""Health and Human Services""}","[""dcgis.boards_commissions_councils""]",needs_review,board
[],,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.57"",""source_row_key"":""57""}",dc.board.of.review.for.anti.deficiency.violations,"[""Mayor's Order 2003-156""]",Board of Review for Anti-Deficiency Violations,,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":57,""NAME"":""Board of Review for Anti-Deficiency Violations"",""SHORT_NAME"":""Board of Review for Anti-Deficiency Violations"",""ACRONYM"":null,""GOVERNING_AGENCY"":""Office of the Deputy Mayor for Public Safety and Justice"",""ADDRESS"":null,""TYPE"":""Board"",""WEB_URL"":null,""AUTHORIZING_ORDER_LAW"":""Mayor's Order 2003-156"",""OBJECTID"":57,""CLUSTER_DC"":null}","[""dcgis.boards_commissions_councils""]",needs_review,board
[],,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.58"",""source_row_key"":""58""}",dc.board.of.social.work,"[""D.C. Code § 3-1202.12""]",Board of Social Work,https://dchealth.dc.gov/service/social-work-licensing,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":58,""NAME"":""Board of Social Work"",""SHORT_NAME"":""Board of Social Work"",""ACRONYM"":null,""GOVERNING_AGENCY"":""DC Health"",""ADDRESS"":""899 North Capitol Street NE"",""TYPE"":""Board"",""WEB_URL"":""https://dchealth.dc.gov/service/social-work-licensing"",""AUTHORIZING_ORDER_LAW"":""D.C. Code § 3-1202.12"",""OBJECTID"":58,""CLUSTER_DC"":""Health and Human Services""}","[""dcgis.boards_commissions_councils""]",needs_review,board
[],,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.59"",""source_row_key"":""59""}",dc.board.of.trustees.of.the.university.of.the.district.of.columbia.udc,"[""D.C. Code § 38-1202.06""]",Board of Trustees of the University of the District of Columbia (UDC),https://www.udc.edu/board-of-trustees/,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":59,""NAME"":""Board of Trustees of the University of the District of Columbia (UDC)"",""SHORT_NAME"":""Board of Trustees of the University of the District of Columbia (UDC)"",""ACRONYM"":null,""GOVERNING_AGENCY"":null,""ADDRESS"":""4200 Connecticut Avenue NW"",""TYPE"":""Board"",""WEB_URL"":""https://www.udc.edu/board-of-trustees/"",""AUTHORIZING_ORDER_LAW"":""D.C. Code § 38-1202.06"",""OBJECTID"":59,""CLUSTER_DC"":null}","[""dcgis.boards_commissions_councils""]",needs_review,board
[],,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.60"",""source_row_key"":""60""}",dc.board.of.veterinary.medicine,"[""D.C. Code § 3-1202.21""]",Board of Veterinary Medicine,https://dchealth.dc.gov/service/veterinarians-licensing,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":60,""NAME"":""Board of Veterinary Medicine"",""SHORT_NAME"":""Board of Veterinarians"",""ACRONYM"":null,""GOVERNING_AGENCY"":""DC Health"",""ADDRESS"":""899 North Capitol Street NE"",""TYPE"":""Board"",""WEB_URL"":""https://dchealth.dc.gov/service/veterinarians-licensing"",""AUTHORIZING_ORDER_LAW"":""D.C. Code § 3-1202.21"",""OBJECTID"":60,""CLUSTER_DC"":""Health and Human Services""}","[""dcgis.boards_commissions_councils""]",needs_review,board
"[""BAZ""]",,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.61"",""source_row_key"":""61""}",dc.board.of.zoning.adjustment.bza,"[""D.C. Code § 6-641.07""]",Board of Zoning Adjustment (BZA),https://dcoz.dc.gov/bza/about,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":61,""NAME"":""Board of Zoning Adjustment (BZA)"",""SHORT_NAME"":""Board of Zoning Adjustment"",""ACRONYM"":""BAZ"",""GOVERNING_AGENCY"":""DC Office of Zoning"",""ADDRESS"":""441 4th Street NW, Suite 200S"",""TYPE"":""Board"",""WEB_URL"":""https://dcoz.dc.gov/bza/about"",""AUTHORIZING_ORDER_LAW"":""D.C. Code § 6-641.07"",""OBJECTID"":61,""CLUSTER_DC"":null}","[""dcgis.boards_commissions_councils""]",needs_review,board
[],,,"{""candidate_id"":""candidate.dcgis.agencies.1107"",""source_row_key"":""1107""}",dc.business.improvements.districts.transfer,[],Business Improvements Districts Transfer,https://dslbd.dc.gov/service/business-improvement-districts-bids,"[""municipal""]",generated_curated,civic_unit,"{""AGENCY_ID"":1107,""AGENCY_NAME"":""Business Improvements Districts Transfer"",""SHORT_NAME"":""Business Improvements Districts Transfer"",""ACRONYM"":null,""BUDGETCODE"":""ID0"",""LEGISLATION"":null,""MAYORAL_CLUSTER"":""Economic Development and Regulation"",""BRANCH"":""Other"",""ADDRESS"":null,""TYPE"":""Budgetary"",""WEB_URL"":""https://dslbd.dc.gov/service/business-improvement-districts-bids"",""SOURCE"":""NON-STATUTORY"",""OBP_BFA_APPROPRIATION_TITLE"":""Economic Development and Regulation"",""OBJECTID"":89,""MAYORAL_OR_NOT"":""Non-Mayoral""}","[""dcgis.agencies""]",needs_review,agency
[],,,"{""candidate_id"":""candidate.dcgis.agencies.1158"",""source_row_key"":""1158""}",dc.captive.insurance.agency,[],Captive Insurance Agency,https://orm.dc.gov/page/captive-insurance-agency-medical-malpractice-non-profit-health-centers,"[""municipal""]",generated_curated,civic_unit,"{""AGENCY_ID"":1158,""AGENCY_NAME"":""Captive Insurance Agency"",""SHORT_NAME"":""Captive Insurance Agency"",""ACRONYM"":null,""BUDGETCODE"":""RJ0"",""LEGISLATION"":null,""MAYORAL_CLUSTER"":""Governmental Direction and Support"",""BRANCH"":""Other"",""ADDRESS"":null,""TYPE"":""Agency"",""WEB_URL"":""https://orm.dc.gov/page/captive-insurance-agency-medical-malpractice-non-profit-health-centers"",""SOURCE"":null,""OBP_BFA_APPROPRIATION_TITLE"":""Governmental Direction and Support"",""OBJECTID"":137,""MAYORAL_OR_NOT"":""Non-Mayoral""}","[""dcgis.agencies""]",needs_review,agency
[],,,"{""candidate_id"":""candidate.dcgis.agencies.1136"",""source_row_key"":""1136""}",dc.certificates.of.participation,[],Certificates of Participation,https://app.cfo.dc.gov/budget/budget/pdf/cp.pdf,"[""municipal""]",generated_curated,civic_unit,"{""AGENCY_ID"":1136,""AGENCY_NAME"":""Certificates of Participation"",""SHORT_NAME"":""Certificates of Participation"",""ACRONYM"":null,""BUDGETCODE"":""CP0"",""LEGISLATION"":null,""MAYORAL_CLUSTER"":null,""BRANCH"":""Other"",""ADDRESS"":null,""TYPE"":""Budgetary"",""WEB_URL"":""https://app.cfo.dc.gov/budget/budget/pdf/cp.pdf"",""SOURCE"":""NON-STATUTORY"",""OBP_BFA_APPROPRIATION_TITLE"":""Financing and Other"",""OBJECTID"":90,""MAYORAL_OR_NOT"":""Non-Mayoral""}","[""dcgis.agencies""]",needs_review,agency
"[""CFSA""]",,,"{""candidate_id"":""candidate.dcgis.agencies.1006"",""source_row_key"":""1006""}",dc.child.and.family.services.agency,"[""§ 2-1371""]",Child and Family Services Agency,https://cfsa.dc.gov/,"[""municipal""]",generated_curated,civic_unit,"{""AGENCY_ID"":1006,""AGENCY_NAME"":""Child and Family Services Agency"",""SHORT_NAME"":""Child and Family Services Agency"",""ACRONYM"":""CFSA"",""BUDGETCODE"":""RL0"",""LEGISLATION"":""§ 2-1371"",""MAYORAL_CLUSTER"":""Health and Human Services"",""BRANCH"":""Executive"",""ADDRESS"":""200 I Street SE"",""TYPE"":""Agency"",""WEB_URL"":""https://cfsa.dc.gov/"",""SOURCE"":""STATUTORY"",""OBP_BFA_APPROPRIATION_TITLE"":""Human Support Services"",""OBJECTID"":3,""MAYORAL_OR_NOT"":""Mayoral""}","[""dcgis.agencies""]",needs_review,agency
[],,,"{""candidate_id"":""candidate.dcgis.agencies.1137"",""source_row_key"":""1137""}",dc.children.and.youth.investment.collaborative,[],Children and Youth Investment Collaborative,,"[""municipal""]",generated_curated,civic_unit,"{""AGENCY_ID"":1137,""AGENCY_NAME"":""Children and Youth Investment Collaborative"",""SHORT_NAME"":""Children and Youth Investment Collaborative"",""ACRONYM"":null,""BUDGETCODE"":""JZ0"",""LEGISLATION"":null,""MAYORAL_CLUSTER"":null,""BRANCH"":""Other"",""ADDRESS"":null,""TYPE"":""Budgetary"",""WEB_URL"":null,""SOURCE"":""NON-STATUTORY"",""OBP_BFA_APPROPRIATION_TITLE"":""Human Support Services"",""OBJECTID"":91,""MAYORAL_OR_NOT"":""Non-Mayoral""}","[""dcgis.agencies""]",needs_review,agency
[],,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.62"",""source_row_key"":""62""}",dc.combat.sports.commission,"[""D.C. Law 22-228. Boxing and Wrestling Commission Amendment Act of 2018""]",Combat Sports Commission,https://dlcp.dc.gov/node/1617416,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":62,""NAME"":""Combat Sports Commission"",""SHORT_NAME"":""Combat Sports Commission"",""ACRONYM"":null,""GOVERNING_AGENCY"":""DC Department of Licensing and Consumer Protection"",""ADDRESS"":""1100 4th Street SW"",""TYPE"":""Commission"",""WEB_URL"":""https://dlcp.dc.gov/node/1617416"",""AUTHORIZING_ORDER_LAW"":""D.C. Law 22-228. Boxing and Wrestling Commission Amendment Act of 2018"",""OBJECTID"":62,""CLUSTER_DC"":null}","[""dcgis.boards_commissions_councils""]",needs_review,commission
[],,,"{""candidate_id"":""candidate.dcgis.agencies.1110"",""source_row_key"":""1110""}",dc.commercial.paper.program,[],Commercial Paper Program,https://cfo.dc.gov/publication/2021-debt-service,"[""municipal""]",generated_curated,civic_unit,"{""AGENCY_ID"":1110,""AGENCY_NAME"":""Commercial Paper Program"",""SHORT_NAME"":""Commercial Paper Program"",""ACRONYM"":null,""BUDGETCODE"":""ZC0"",""LEGISLATION"":null,""MAYORAL_CLUSTER"":null,""BRANCH"":""Other"",""ADDRESS"":null,""TYPE"":""Budgetary"",""WEB_URL"":""https://cfo.dc.gov/publication/2021-debt-service"",""SOURCE"":""NON-STATUTORY"",""OBP_BFA_APPROPRIATION_TITLE"":""Financing and Other"",""OBJECTID"":92,""MAYORAL_OR_NOT"":""Non-Mayoral""}","[""dcgis.agencies""]",needs_review,agency
